gnis_id,gnis_name
00384560,Leiberg Creek
00372448,Dougherty Creek
00375319,Sucker Creek
00381132,East Fork Meadow Creek
00378940,Carlson Creek
00378787,Camp Creek
00388012,Ostrander Creek
00387712,North Fork Hughes Creek
00392444,Tumble Creek
00378954,Carrill Creek
00391032,South Fork Split Creek
01130913,Deafy Creek
00400055,Rattlesnake Creek
00372834,German Canal
00377085,Bear Creek
01506228,Little Skookum Creek
00373260,Island Ward Canal
00379438,Clifton Creek
00789267,Quartz Creek
00384886,Little Lost River
00380623,Ditch Creek
00378057,Bottle Creek
00781120,Cedar Run Creek
00387262,Mosquito Creek
00384911,Little Pine Creek
00377103,Bear Creek
00378794,Camp Creek
00393562,Wimpey Creek
00390464,Simmons Creek
00388445,Pig Creek
00387295,Mountain Meadow Creek
00393763,Yellowstone Canal
00400505,Little Pierce Creek
00399646,Whiskey Creek
00862669,Bonanza Creek
00381826,Flat Creek
00789608,Rivers Creek
00386687,Meadow Creek
00374793,Ross Slough
00395843,Deer Flat High Line Canal
00382933,Harrison Creek
01527914,West Branch Gypsy Creek
00391278,Council Spring Creek
00395276,Crooks Creek
00373112,Holly Canal
00782606,Dry Fork Dry Creek
00389722,Rumpus Creek
00377479,Big Creek
00371314,Aven Lateral
00398531,Sinker Creek
01117721,Birch Creek
00378264,Brown Creek
00393043,West Fork Beaver Creek
00787567,Montana Creek
00390632,Sliver Creek
00789853,Runaway Creek
00377687,Bisbee Creek
00378792,Camp Creek
00382732,Grouse Creek
00390182,Sheep Creek
00388571,Pitch Creek
00388292,Peace Creek
00794314,Mephisto Creek
00389454,Robinson Creek
00789117,Portal Creek
00397824,Johns Creek
00793098,West Fork Watkins Creek
00381178,East Fork Split Creek
00784372,Grouse Creek
00388086,Pack Horse Creek
00373668,Little Sand Creek
00389845,Salix Creek
00388595,Plank Creek
00800854,Gneiss Creek
00377603,Big Spruce Creek
00372162,Cottonwood Creek
00386432,Mannering Creek
00379801,Corral Creek
00787995,Nickerson Creek
02569009,Lateral N-45
00386148,Lost Creek
00379843,Cottonwood Creek
01598256,Blue Bell Creek
00393739,Yearian Creek
00393144,West Fork Meadow Creek
00383213,Hilo Creek
00782958,East Terrell Creek
00373282,Jackson Creek
01598245,Blind Bull Creek
00380204,Dagger Creek
01519661,Flume Creek
00859532,Doby George Creek
00377946,Blue Rock Creek
00384362,Lake Creek
00376724,Arrastra Creek
00386155,Lost Hunter Creek
00790704,Smearl Creek
00789206,Prospect Creek
00396404,Dietrich Main Canal
00782437,Dog Creek
00392529,Twin Lakes Canal
02569016,Lateral PA2
00381831,Flat Creek
00384827,Little Fall Creek
01599244,Dick Creek
00374590,Rattlesnake Creek
00390111,Service Creek
00387141,Moonshine Creek
00383664,Indian Creek
00390246,Sheep Mountain Creek
00784725,Hell Roaring Creek
00387091,Monroe Creek
00393531,Willow Spring Creek
00382591,Gravel Creek
00393487,Willow Creek
00373432,Kuna Canal
00373492,Lateral F 1
00388545,Pinto Creek
00384909,Little Pearsol Creek
01526680,Sullivan Creek
00782366,Dick Creek
00382364,Gold Creek
00387370,Muir Creek
00389370,Right Fork Fall Creek
00788913,Pink Creek
00377903,Blue Eagle Creek
01586251,Cabin Creek
00393452,Willard Creek
00378460,Bull Creek
00380955,Dutch Creek
00384396,Lamb Creek
00390904,South Fork Champion Creek
01600568,Jack Pine Creek
01506184,Little Alkali Flat Creek
00374231,North Slough
00390072,Seat Creek
00389634,Rough Creek
01127427,Spring Creek
00382251,Germania Creek
00382533,Granite Creek
00392466,Turnipseed Creek
00788696,Pattee Creek
00382485,Graham Creek
00397494,Buffalo Creek
00382312,Goat Creek
00381682,Field Creek
00390954,South Fork Indian Creek
00782726,Dutch Creek
00389743,Rusty Creek
00801786,Chute Creek
00384878,Little Lightning Creek
00376054,Milligan Creek
00374207,North Fork Tom Beall Creek
00396359,D-Line Canal
00380139,Cub Creek
01504425,Deerhorn Creek
00384661,Lime Creek
00382313,Goat Creek
00388395,Phelan Creek
00376913,Ball Creek
00379226,Cherry Creek
00793096,West Fork Warm Springs Creek
00389002,Rabbit Creek
00378322,Brush Creek
00398390,Yellow Dog Creek
00371888,Captain John Creek
00373126,Hon Lateral
00374289,Owsley Canal
00779612,Beaver Creek
00372824,Garrett Creek
00844069,Sulphur Creek
00383746,Irish Creek
00393262,Wet Foot Creek
00389738,Russell Creek
00395874,Riley Creek
00382912,Harlan Creek
00381204,East Greenacres Main Ditch
00779363,Barktable Creek
00391830,Tamarack Creek
01601136,Lost Creek
01604032,West Bailey Creek
00378359,Buck Creek
00792485,Twelvemile Creek
00392232,Toms Creek
00387327,Mud Creek
00390842,Sourdough Creek
02797523,East Fork Browns Creek
00380092,Crooked River
00372910,Grave Creek
00377347,Bench Creek
00384363,Lake Creek
00380731,Double A Creek
00378994,Casper Creek
00387148,Moore Creek
00390124,Severe Creek
00393288,Whiskey Creek
00860337,Lime Creek
00786311,Little Joe Creek
00388579,Placer Creek
00390023,School Section Creek
00379737,Corbus Creek
00389613,Rosetta Creek
00396671,Hot Spring Canal
00399630,West Creek
00391868,Taylor Creek
00384769,Little Casino Creek
02517253,G 7 A Lateral
00379670,Cooper Creek
00387621,North Callahan Creek
02568955,Lateral L-14
00381043,East Fork American River
00389952,Sawmill Creek
00384535,Left Fork Iron Bog Creek
00384728,Little Bear Creek
01447172,West Pole Creek
00786337,Little Park Creek
00389415,Road Creek
00379421,Cliff Creek
00783534,Fleetwood Creek
00782279,Delano Creek
01601718,North Boone Creek
00379703,Copper Creek
00380676,Doe Creek
00375280,Stewart Ditch
00384290,Knute Creek
00387715,North Fork Indian Creek
00399855,Double Creek
00379785,Corral Creek
00386827,Middle Fork Mission Creek
00375159,South Gooding Main Canal
00375726,Warbonnet Creek
00389463,Rochat Creek
00782104,Davis Creek
00378094,Boulder Ditch
00786953,May Creek
00384855,Little Hat Creek
00377252,Beaver Creek
00380345,Deadwood Creek
00382314,Goat Creek
00792597,Unnamed Creek
00375178,South Slough
02729186,Lateral 2153
00384523,Left Fork Cherry Creek
00382056,French Creek
02568996,Lateral N-3
00391323,Squirrel Creek
00391406,Steep Creek
00372111,Cook Canal
00397506,Butler Creek
00372716,Fivemile Creek
01509001,Thorn Creek
00372002,China Creek
00783872,Gazelle Creek
00387821,North Jump Creek
00371347,Ballentine Canal
00390021,Schofield Creek
01439742,Cinnamon Creek
